Name,City,State,Category,Entry_Price_MYR,Latitude,Longitude
Cameron Highlands Tea Plantations,Cameron Highlands,Pahang,Nature,0,4.4696,101.3868
Taman Negara National Park,Kuala Tahan,Pahang,Nature,1,4.3833,102.4
Sungai Lembing,Kuantan,Pahang,Nature,10,3.9333,103.0333
Teluk Cempedak Beach,Kuantan,Pahang,Beach,0,3.8228,103.3611
Perhentian Islands,Perhentian,Terengganu,Beach,0,5.908,102.737
Redang Island,Redang,Terengganu,Beach,0,5.7833,103.0167
Kenyir Lake,Hulu Terengganu,Terengganu,Nature,0,5.05,102.7667
Crystal Mosque,Kuala Terengganu,Terengganu,Religious,0,5.341,103.033
Islamic Civilization Park,Kuala Terengganu,Terengganu,Cultural,15,5.3406,103.0344
Kota Bharu Central Market,Kota Bharu,Kelantan,Cultural,0,6.1333,102.2386
Pantai Cahaya Bulan (PCB Beach),Kota Bharu,Kelantan,Beach,0,6.1833,102.2833
Istana Jahar,Kota Bharu,Kelantan,Museum,5,6.1319,102.2417
Perak Tong Temple,Ipoh,Perak,Religious,5,4.628,101.085
Sam Poh Tong Temple,Ipoh,Perak,Religious,0,4.5697,101.0906
Kek Lok Tong Temple,Ipoh,Perak,Religious,0,4.5975,101.1019
Lost World of Tambun,Ipoh,Perak,Theme Park,115,4.6089,101.1214
Kellie's Castle,Batu Gajah,Perak,Cultural,8,4.4694,101.1275
Taiping Lake Gardens,Taiping,Perak,Nature,0,4.8547,100.735
Taiping Zoo,Taiping,Perak,Nature,22,4.8583,100.7378
George Town Heritage Area,George Town,Penang,Cultural,0,5.4141,100.3288
Penang Hill,George Town,Penang,Nature,30,5.423,100.2778
Kek Lok Si Temple,Air Itam,Penang,Religious,2,5.3997,100.2739
Batu Ferringhi Beach,Batu Ferringhi,Penang,Beach,0,5.4736,100.2447
Penang National Park,Teluk Bahang,Penang,Nature,0,5.4517,100.1997
ESCAPE Theme Park,Teluk Bahang,Penang,Theme Park,128,5.4494,100.2033
Tropical Spice Garden,Teluk Bahang,Penang,Nature,27,5.4486,100.2131
Penang War Museum,Batu Maung,Penang,Museum,25,5.2833,100.3006
Clan Jetties,George Town,Penang,Cultural,0,5.4141,100.3439
Cheong Fatt Tze Mansion,George Town,Penang,Cultural,25,5.4166,100.3372
Langkawi Sky Bridge,Gunung Machinchang,Kedah,Adventure,55,6.3803,99.6608
Langkawi Cable Car,Gunung Machinchang,Kedah,Adventure,85,6.38,99.66
Underwater World Langkawi,Pantai Cenang,Kedah,Museum,53,6.2856,99.7286
Alor Setar Tower,Alor Setar,Kedah,Landmark,5,6.1211,100.3672
Paddy Museum,Alor Setar,Kedah,Museum,3,6.1856,100.3861
Perlis State Park,Kaki Bukit,Perlis,Nature,0,6.6167,100.1833
Gua Kelam,Kaki Bukit,Perlis,Nature,4,6.6167,100.1806
Mount Kinabalu,Kundasang,Sabah,Nature,0,6.075,116.5583
Kinabalu Park,Kundasang,Sabah,Nature,15,6.0833,116.55
Sipadan Island,Semporna,Sabah,Beach,0,4.115,118.6285
Sabah Tea Garden,Ranau,Sabah,Nature,10,5.9667,116.9
Poring Hot Springs,Ranau,Sabah,Nature,15,6.05,116.7
Sabah Museum,Kota Kinabalu,Sabah,Museum,15,5.9667,116.0833
Signal Hill Observatory,Kota Kinabalu,Sabah,Landmark,0,5.9836,116.0764
Tunku Abdul Rahman Marine Park,Kota Kinabalu,Sabah,Nature,10,6.0167,116.0167
Mari Mari Cultural Village,Kota Kinabalu,Sabah,Cultural,190,6.0333,116.15
Lok Kawi Wildlife Park,Kota Kinabalu,Sabah,Nature,20,5.8944,116.0028
Bako National Park,Kuching,Sarawak,Nature,20,1.7167,110.4667
Gunung Mulu National Park,Mulu,Sarawak,Nature,30,4.05,114.8167
Sarawak Cultural Village,Santubong,Sarawak,Cultural,100,1.7461,110.3283
Semenggoh Wildlife Centre,Kuching,Sarawak,Nature,10,1.4167,110.3167
Kuching Waterfront,Kuching,Sarawak,Landmark,0,1.5595,110.3442
Sarawak State Museum,Kuching,Sarawak,Museum,0,1.5589,110.3444
Annah Rais Longhouse,Padawan,Sarawak,Cultural,10,1.2333,110.2
Labuan Marine Park,Labuan,Labuan,Beach,0,5.2831,115.2308
Labuan Bird Park,Labuan,Labuan,Nature,1,5.3167,115.2333
Labuan Chimney,Labuan,Labuan,Landmark,0,5.2947,115.2436
